word,x_coord,y_coord,word_count,rank
ka,38.689341999999996,-9.982628,291076,1
i,37.412304,-10.677072,230892,2
o,38.61585,-10.455295,224662,3
a,38.121826,-10.935897,144110,4
e,36.56321,-10.292625,127294,5
na,39.618603,-8.526628500000001,114818,6
ke,37.72246,-9.906298,108017,7
no,38.07846,-9.431136,95480,8
ana,36.796524,-10.62143,88554,9
ia,36.581565999999995,-10.865406,80378,10
ma,33.366417,-15.733226,67862,11
mai,36.009018,-12.296354,66377,12
me,40.238045,-8.617659,60341,13
ua,38.977726000000004,-11.639942,57825,14
aku,35.772686,-12.858856,55754,15
he,40.144875,-9.7054,51307,16
la,36.08934,-14.220807,49961,17
ai,36.449867,-9.24588,41773,18
mea,37.354702,-6.4682097,38085,19
mau,39.3422,-10.848481,35726,20
kona,39.525993,-12.691815,31696,21
kekahi,40.660740000000004,-9.963683999999999,31259,22
keia,40.743225,-6.522530000000001,31185,23
ae,36.066254,-13.822623000000002,30349,24
nei,36.666042,-12.85625,29549,25
lakou,37.93942,-7.439201,27724,26
ko,37.71646,-8.632674,27592,27
hoi,37.696293,-11.837674,23886,28
kela,40.786415000000005,-6.4743724,22684,29
aole,34.485806,-6.977123700000001,21544,30
nui,39.029236,-8.417112,21141,31
oia,37.67665,-11.520746,20714,32
hana,37.287659999999995,-5.245195400000001,20370,33
iho,35.484916999999996,-13.579660999999998,18499,34
poe,36.837845,-3.6324080000000003,18353,35
loa,39.881626000000004,-11.626819,17102,36
ole,36.336994,-7.641503999999999,16014,37
kanaka,37.974804,-6.8309913,15958,38
pau,39.12402,-7.824266400000001,14569,39
hou,33.5803,-10.112625999999999,12583,40
loaa,34.912613,-9.368253,12280,41
pono,35.079291999999995,-2.9126773,11839,42
manao,31.229221000000003,-4.3958416,11813,43
hiki,34.715365999999996,-10.147223,11438,44
noho,32.414474,-13.110217,11082,45
u,9.992229,-16.76923,11063,46
ike,37.816708,-12.696375999999999,10860,47
iloko,9.772563,8.987694,10833,48
hele,33.7288,-13.189245999999999,10457,49
wahi,37.79016,-13.589407999999999,10339,50
hale,-33.124454,-27.33874,9990,51
wale,35.816864,-6.799614,9975,52
manawa,31.988377000000003,-10.8239565,9779,53
ano,40.241848,-4.1151156,9760,54
au,10.034348,-16.550823,9651,55
aina,18.345910999999997,10.585379,9592,56
nae,34.7357,-7.077899499999999,9236,57
kahi,31.788109000000002,-16.159407,9205,58
ame,-15.721642000000001,52.230263,8487,59
make,10.57669,-5.1711497,8326,60
olelo,27.343646999999997,-2.7944633999999997,8168,61
aka,33.79888,-7.1072983999999995,8104,62
ina,34.93074,-7.311085,7910,63
holo,-38.157024,-23.930574,7829,64
hookahi,-45.44,30.216884999999998,7767,65
oe,10.726068,-16.509096,7715,66
maluna,35.22996,-19.167085999999998,7593,67
paha,35.11036,-8.062896,7473,68
like,40.923317,-8.478227,7402,69
hawaii,31.725061,45.747355999999996,7361,70
wa,32.044476,-10.802048,7181,71
makahiki,-44.863777,30.18293,7174,72
kana,5.273261,-13.341728,7145,73
keiki,-5.053035700000001,-17.297743,7086,74
pu,1.5133991000000002,-15.273541,6931,75
nana,33.95053,-11.888163,6686,76
kumu,29.694988000000002,18.618183,6559,77
laua,-11.655056,-22.167328,6462,78
pela,36.19057,-5.5716953,6170,79
hoike,12.317403,52.928074,6122,80
alii,-12.221264,-5.062243,5992,81
kaa,-34.394123,-14.711176000000002,5980,82
wahine,-5.665419,-16.911196,5879,83
aupuni,17.24762,47.408405,5861,84
uku,-29.04758,41.592228000000006,5830,85
aoao,-57.232224,5.2890544,5780,86
hala,-41.05284,24.88087,5772,87
eia,29.972541999999997,17.828537,5747,88
lilo,38.499096,-5.5002265,5613,89
ku,34.357914,-17.732124,5580,90
mua,-30.776217,29.141422,5552,91
oukou,33.8603,-2.8104560000000003,5464,92
mahope,7.9495587,3.7922053,5413,93
lawe,29.482414000000002,23.641157,5337,94
paa,22.044691,-52.95567,5290,95
kau,35.221109999999996,-19.229218,5247,96
elua,-47.318783,27.362694,5180,97
alaila,34.851185,-8.958357000000001,5147,98
aloha,4.832932,-20.07075,5137,99
iaia,13.987182999999998,2.721448,5065,100
mamua,-28.885446999999996,34.53727,4986,101
maikai,32.5931,-34.28904,4979,102
waiwai,32.544785,28.656715000000002,4909,103
kakou,34.03645,-2.8736618,4894,104
luna,-26.250776000000002,54.69795,4871,105
kaua,0.48042065,4.365665,4706,106
maloko,9.997177,9.258904,4684,107
kanawai,10.657805999999999,57.327015,4594,108
makai,-8.133436,26.196108,4552,109
koa,-0.16140999,3.993743,4447,110
ola,9.017503999999999,-3.7825230000000003,4445,111
inoa,15.360739,14.361282999999998,4251,112
imua,17.617825,40.63612,4166,113
ona,39.820713,-13.829622,4161,114
komo,9.107579,8.5702305,4129,115
makou,8.365511999999999,-16.52948,4121,116
pili,41.633957,0.29395488,4113,117
aia,33.313206,-15.913910999999999,4101,118
moku,-25.365112,-3.3828769,4081,119
pepa,-28.597703999999997,42.612286,4069,120
oihana,-8.47456,49.695282,4056,121
honolulu,-39.099693,32.439696999999995,4044,122
malama,18.101952,14.701697,4043,123
kino,12.307405000000001,-55.398556000000006,4029,124
papa,26.328561999999998,45.952442,4017,125
makemake,31.379452,-4.3858275,3935,126
hewa,25.981272,3.1670415000000003,3885,127
akua,22.510525,-0.34770572,3885,128
nolaila,33.228396999999994,-6.942702000000001,3863,129
helu,-38.326846999999994,46.49777,3862,130
alanui,-39.655743,-12.599008,3818,131
ao,23.114738,-0.7619906,3761,132
waiho,21.11779,25.652407,3721,133
kuai,42.110009999999996,21.77018,3711,134
haawi,13.601126999999998,43.016956,3667,135
kuu,9.730962,-18.063076000000002,3601,136
kula,26.089289,20.479248000000002,3595,137
po,-47.099274,13.734779000000001,3552,138
palapala,5.466156,55.785095,3528,139
aha,6.532767,51.1586,3457,140
hoea,-19.262087,17.995316,3337,141
mamuli,15.906486,33.447758,3324,142
malalo,10.9854355,9.732975,3288,143
koke,28.404102,-18.428036,3267,144
kou,11.847389999999999,-17.125395,3249,145
noi,6.896835,59.107574,3235,146
oiai,6.1750393,5.5296607,3167,147
kokua,21.831072,37.19553,3161,148
oi,-28.929641999999998,34.54271,3058,149
pule,-35.572815000000006,20.69439,3022,150
huli,-7.383905,-2.973057,3015,151
